"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"26/06/2025","18,00","17,91","0,62","17,70","17,98","n/d"
"25/06/2025","18,43","17,80","-1,00","17,69","18,03","n/d"
"24/06/2025","18,45","17,98","-2,81","17,90","18,59","n/d"
"23/06/2025","n/d","18,50","0,27","18,33","18,95","n/d"
"20/06/2025","18,75","18,45","0,11","18,23","18,53","n/d"
"18/06/2025","19,01","18,43","-1,50","18,43","18,80","n/d"
"17/06/2025","18,61","18,71","-0,37","18,56","19,01","n/d"
"16/06/2025","n/d","18,78","1,57","18,47","18,78","n/d"
"13/06/2025","18,59","18,49","0,54","18,31","18,66","n/d"
"12/06/2025","18,59","18,39","-1,45","18,38","18,61","n/d"
"11/06/2025","18,53","18,66","0,16","18,45","18,76","n/d"
"10/06/2025","18,89","18,63","1,25","18,48","18,85","n/d"
"09/06/2025","18,89","18,40","-2,70","18,37","18,93","n/d"
"06/06/2025","18,90","18,91","-0,47","18,83","19,13","n/d"
"05/06/2025","19,02","19,00","0,58","18,80","19,13","n/d"
"04/06/2025","18,79","18,89","-0,32","18,89","19,23","n/d"
"03/06/2025","18,79","18,95","0,91","18,91","19,22","n/d"
"02/06/2025","18,90","18,78","-0,58","18,65","19,19","n/d"
"30/05/2025","19,20","18,89","-2,12","18,89","19,43","n/d"
"29/05/2025","19,20","19,30","0,05","19,01","19,45","n/d"
"28/05/2025","19,01","19,29","0,68","19,12","19,38","n/d"
"27/05/2025","18,81","19,16","1,54","18,87","19,28","n/d"
"26/05/2025","18,81","18,87","-0,05","18,81","19,14","n/d"
"23/05/2025","18,50","18,88","2,83","18,24","18,97","n/d"
"22/05/2025","18,50","18,36","-0,97","18,36","18,53","n/d"
"21/05/2025","18,81","18,54","-1,90","18,51","18,85","n/d"
"20/05/2025","18,93","18,90","0,11","18,69","18,90","n/d"
"19/05/2025","18,93","18,88","-0,58","18,85","18,96","n/d"
"16/05/2025","18,70","18,99","-0,26","18,77","19,17","n/d"
"15/05/2025","18,70","19,04","2,04","18,67","19,04","n/d"
"14/05/2025","18,80","18,66","-1,69","18,63","19,90","n/d"
"13/05/2025","19,00","18,98","0,53","18,80","19,20","n/d"
"12/05/2025","n/d","18,88","-0,16","18,46","19,00","n/d"
"09/05/2025","19,47","18,91","-2,17","18,61","19,22","n/d"
"08/05/2025","19,35","19,33","0,16","19,14","19,49","n/d"
"07/05/2025","19,32","19,30","-0,10","19,10","19,43","n/d"
"06/05/2025","n/d","19,32","0,89","19,10","19,49","n/d"
"05/05/2025","19,64","19,15","-1,65","19,03","19,78","n/d"
"02/05/2025","19,39","19,47","1,21","19,20","19,59","n/d"
"30/04/2025","19,39","19,24","-0,80","19,09","19,44","n/d"
"29/04/2025","19,44","19,39","-0,15","19,31","19,65","n/d"
"28/04/2025","n/d","19,42","-0,15","19,25","19,49","n/d"
"25/04/2025","19,58","19,45","-0,50","19,42","19,70","n/d"
"24/04/2025","19,98","19,55","0,00","19,29","19,66","n/d"
"23/04/2025","19,98","19,55","-1,13","19,40","19,73","n/d"
"22/04/2025","n/d","19,77","0,94","19,44","20,02","n/d"
"17/04/2025","19,78","19,59","-0,69","19,54","19,69","n/d"
"16/04/2025","20,30","19,72","-0,10","19,59","19,88","n/d"
"15/04/2025","20,30","19,74","-2,50","19,66","20,07","n/d"
"14/04/2025","19,75","20,25","3,53","20,11","20,41","n/d"
