"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","10,58","10,46","10,63","10,37","9,21M","1,34%"
"06.08.2025","10,44","10,27","10,45","10,26","11,28M","1,95%"
"05.08.2025","10,24","10,27","10,28","10,09","12,73M","-0,58%"
"04.08.2025","10,30","10,37","10,39","10,20","10,99M","-0,39%"
"01.08.2025","10,34","10,42","10,48","10,31","7,48M","0,10%"
"31.07.2025","10,33","10,43","10,45","10,20","30,58M","-1,62%"
"30.07.2025","10,50","10,45","10,63","10,38","10,55M","0,48%"
"29.07.2025","10,45","10,43","10,48","10,33","8,72M","0,77%"
"28.07.2025","10,37","10,53","10,54","10,31","8,16M","-1,05%"
"25.07.2025","10,48","10,52","10,60","10,46","6,46M","-0,47%"
"24.07.2025","10,53","10,55","10,56","10,42","6,37M","-0,47%"
"23.07.2025","10,58","10,36","10,68","10,33","8,36M","2,22%"
"22.07.2025","10,35","10,51","10,60","10,28","10,83M","-1,24%"
"21.07.2025","10,48","10,42","10,57","10,38","5,73M","0,96%"
"18.07.2025","10,38","10,42","10,48","10,37","12,31M","-0,76%"
"17.07.2025","10,46","10,52","10,55","10,41","8,69M","-0,57%"
"16.07.2025","10,52","10,66","10,66","10,47","10,09M","-0,94%"
"15.07.2025","10,62","10,74","10,82","10,54","8,77M","-0,38%"
"14.07.2025","10,66","10,79","10,83","10,62","8,09M","-1,30%"
"11.07.2025","10,80","10,78","10,89","10,74","9,65M","0,09%"
"10.07.2025","10,79","10,59","10,89","10,56","11,87M","1,41%"
"09.07.2025","10,64","11,00","11,04","10,63","11,70M","-3,27%"
"08.07.2025","11,00","11,08","11,12","10,90","11,58M","-0,72%"
"07.07.2025","11,08","11,23","11,27","11,08","11,01M","-0,89%"
"04.07.2025","11,18","11,08","11,26","11,06","5,97M","1,18%"
"03.07.2025","11,05","10,91","11,13","10,83","9,15M","1,94%"
"02.07.2025","10,84","11,03","11,05","10,82","13,89M","-1,28%"
