"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","39,31","38,06","39,49","37,97","2,29M","3,53%"
"06.08.2025","37,97","37,50","38,28","37,40","1,38M","1,44%"
"05.08.2025","37,43","38,43","38,64","37,43","2,64M","-2,09%"
"04.08.2025","38,23","38,12","38,40","37,71","1,58M","0,79%"
"01.08.2025","37,93","38,31","38,51","37,93","1,14M","0,05%"
"31.07.2025","37,91","37,61","38,04","37,52","1,34M","-0,76%"
"30.07.2025","38,20","37,59","38,44","37,50","1,86M","1,60%"
"29.07.2025","37,60","37,51","37,94","37,23","623,80K","0,45%"
"28.07.2025","37,43","38,29","38,34","37,43","866,40K","-2,02%"
"25.07.2025","38,20","38,26","38,48","38,09","626,80K","0,13%"
"24.07.2025","38,15","38,32","38,32","37,97","695,60K","-0,91%"
"23.07.2025","38,50","37,15","38,60","37,01","1,26M","3,44%"
"22.07.2025","37,22","38,40","38,47","37,21","1,44M","-2,85%"
"21.07.2025","38,31","38,19","38,92","38,13","1,50M","0,34%"
"18.07.2025","38,18","37,83","38,27","37,77","1,19M","0,37%"
"17.07.2025","38,04","38,36","38,43","37,92","1,19M","-0,81%"
"16.07.2025","38,35","37,79","38,36","37,70","1,31M","1,51%"
"15.07.2025","37,78","37,93","37,94","37,40","933,60K","0,40%"
"14.07.2025","37,63","37,96","38,42","37,49","779,10K","-1,13%"
"11.07.2025","38,06","38,07","38,46","37,87","607,80K","-0,37%"
"10.07.2025","38,20","38,03","38,67","38,03","839,90K","-1,14%"
"09.07.2025","38,64","39,74","39,89","38,58","1,67M","-3,09%"
"08.07.2025","39,87","40,74","40,74","39,52","1,53M","-1,60%"
"07.07.2025","40,52","41,07","41,07","40,29","941,80K","-1,12%"
"04.07.2025","40,98","41,00","41,14","40,90","455,80K","-0,39%"
"03.07.2025","41,14","40,19","41,29","40,19","2,09M","2,14%"
"02.07.2025","40,28","40,92","40,92","40,00","901,10K","-0,98%"
"01.07.2025","40,68","40,96","41,00","40,60","964,50K","-0,44%"
"30.06.2025","40,86","40,26","41,07","40,06","1,63M","1,31%"
"27.06.2025","40,33","40,08","40,47","39,96","557,50K","-0,17%"
"26.06.2025","40,40","40,05","40,40","39,99","1,57M","1,20%"
"25.06.2025","39,92","40,24","40,33","39,79","665,20K","-1,33%"
"24.06.2025","40,46","40,18","40,63","40,02","1,33M","0,40%"
