"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","41,46","41,25","41,81","41,11","1,39M","0,53%"
"06.08.2025","41,24","39,32","41,26","39,17","1,77M","4,88%"
"05.08.2025","39,32","38,96","39,38","38,62","1,71M","0,77%"
"04.08.2025","39,02","39,42","40,17","38,48","986,70K","-0,51%"
"01.08.2025","39,22","39,40","40,44","39,15","2,05M","0,59%"
"31.07.2025","38,99","38,65","39,18","37,97","1,47M","-1,32%"
"30.07.2025","39,51","38,47","39,60","38,45","1,01M","1,62%"
"29.07.2025","38,88","38,02","38,95","37,65","1,61M","3,10%"
"28.07.2025","37,71","38,45","38,79","37,60","2,15M","-1,54%"
"25.07.2025","38,30","38,19","38,66","38,19","739,40K","0,29%"
"24.07.2025","38,19","39,40","39,40","38,15","2,11M","-3,32%"
"23.07.2025","39,50","39,27","39,88","39,00","1,31M","0,77%"
"22.07.2025","39,20","40,27","40,62","39,20","1,51M","-2,61%"
"21.07.2025","40,25","40,26","40,75","40,20","1,69M","-0,02%"
"18.07.2025","40,26","41,17","41,47","40,23","1,43M","-2,82%"
"17.07.2025","41,43","40,76","41,43","40,48","1,03M","1,64%"
"16.07.2025","40,76","40,77","41,01","40,14","1,17M","-0,02%"
"15.07.2025","40,77","39,50","40,90","39,34","1,97M","2,93%"
"14.07.2025","39,61","39,72","39,80","38,86","966,50K","0,05%"
"11.07.2025","39,59","40,11","40,51","39,13","1,58M","-1,07%"
"10.07.2025","40,02","39,90","40,11","39,28","1,18M","-1,01%"
"09.07.2025","40,43","40,83","40,92","40,17","1,14M","-0,98%"
"08.07.2025","40,83","40,47","41,00","40,30","1,36M","1,06%"
"07.07.2025","40,40","41,00","41,18","40,35","1,25M","-1,68%"
"04.07.2025","41,09","40,80","41,35","40,65","649,40K","0,71%"
"03.07.2025","40,80","39,98","41,20","39,74","3,07M","2,31%"
"02.07.2025","39,88","41,40","41,50","39,69","1,99M","-3,39%"
"01.07.2025","41,28","40,81","41,43","40,56","1,58M","1,13%"
"30.06.2025","40,82","40,36","40,82","39,75","1,59M","0,94%"
"27.06.2025","40,44","40,47","40,70","40,05","1,42M","0,09%"
"26.06.2025","40,40","40,59","41,29","40,29","2,03M","-0,12%"
"25.06.2025","40,45","40,42","41,15","39,84","1,96M","-0,07%"
"24.06.2025","40,48","39,88","41,07","39,79","2,16M","2,09%"
"23.06.2025","39,65","40,28","40,28","39,46","1,16M","-1,28%"
"20.06.2025","40,16","40,63","40,74","39,64","1,57M","-0,75%"
"18.06.2025","40,47","39,93","40,74","39,77","2,23M","1,72%"
"17.06.2025","39,78","39,93","40,20","39,42","1,81M","1,90%"
"16.06.2025","39,04","38,09","39,17","37,72","1,28M","3,83%"
"13.06.2025","37,60","38,61","38,61","37,46","1,31M","-3,21%"
"12.06.2025","38,85","39,13","39,13","38,54","949,60K","-0,95%"
"11.06.2025","39,22","39,09","39,32","38,25","1,29M","0,51%"
"10.06.2025","39,02","39,07","39,45","38,55","1,50M","0,17%"
"09.06.2025","38,95","38,79","38,99","38,04","1,44M","0,42%"
"06.06.2025","38,79","40,18","40,30","38,36","2,03M","-3,12%"
"05.06.2025","40,04","39,81","40,74","39,76","2,36M","0,55%"
"04.06.2025","39,82","39,65","40,84","39,58","1,96M","0,41%"
"03.06.2025","39,66","38,92","39,83","38,80","1,40M","1,81%"
"02.06.2025","38,95","39,02","39,61","38,31","1,25M","0,54%"
"30.05.2025","38,74","38,45","38,98","38,12","2,68M","0,77%"
"29.05.2025","38,45","38,14","38,88","38,09","1,58M","-0,44%"
"28.05.2025","38,62","38,54","38,93","38,12","1,43M","0,22%"
"27.05.2025","38,53","38,50","39,07","38,11","2,08M","1,56%"
"26.05.2025","37,94","37,50","38,17","37,44","1,33M","0,86%"
"23.05.2025","37,62","35,78","37,66","35,37","2,09M","4,53%"
"22.05.2025","35,99","35,62","36,72","35,36","2,39M","0,99%"
"21.05.2025","35,64","36,91","36,91","35,44","1,89M","-3,48%"
"20.05.2025","36,92","36,64","36,92","36,06","2,05M","0,78%"
"19.05.2025","36,64","36,76","36,78","35,89","2,10M","-0,59%"
"16.05.2025","36,86","36,40","36,94","35,94","2,12M","1,39%"
"15.05.2025","36,35","36,21","36,40","35,64","2,93M","1,30%"
"14.05.2025","35,89","35,48","36,36","35,28","1,74M","1,21%"
"13.05.2025","35,46","34,88","35,78","34,49","2,93M","1,56%"
"12.05.2025","34,91","35,65","35,65","34,22","2,26M","-1,80%"
"09.05.2025","35,55","36,24","36,42","35,27","2,13M","-1,74%"
"08.05.2025","36,18","35,47","36,63","35,17","2,55M","3,04%"
"07.05.2025","35,11","35,99","36,03","34,68","2,05M","-1,63%"
"06.05.2025","35,69","34,61","35,69","34,61","1,99M","3,14%"
"05.05.2025","34,61","34,39","34,62","33,84","1,50M","0,44%"
"02.05.2025","34,46","34,88","35,06","34,25","4,52M","-0,52%"
"30.04.2025","34,64","33,00","34,64","32,91","2,01M","4,10%"
"29.04.2025","33,27","34,35","34,88","33,27","2,27M","-4,09%"
"28.04.2025","34,69","34,18","35,09","33,98","1,68M","1,51%"
"25.04.2025","34,18","34,88","34,91","33,55","1,92M","-1,78%"
"24.04.2025","34,80","33,48","34,80","33,39","1,54M","4,05%"
"23.04.2025","33,45","33,27","33,53","32,71","1,55M","0,95%"
"22.04.2025","33,13","32,68","33,21","32,55","1,52M","1,31%"
"17.04.2025","32,70","32,16","32,70","31,93","1,51M","2,05%"
"16.04.2025","32,05","32,04","32,42","31,76","1,25M","0,24%"
"15.04.2025","31,97","31,68","32,05","31,41","1,11M","0,99%"
"14.04.2025","31,65","31,27","31,80","31,01","1,76M","2,85%"
"11.04.2025","30,78","30,97","31,14","29,68","2,92M","-0,74%"
"10.04.2025","31,01","31,36","31,36","30,62","2,75M","-0,94%"
"09.04.2025","31,30","31,16","31,83","30,43","2,08M","0,15%"
"08.04.2025","31,25","31,21","32,07","30,94","2,65M","0,61%"
"07.04.2025","31,06","30,24","31,26","29,88","1,98M","0,62%"
"04.04.2025","30,87","30,94","30,94","29,98","1,73M","-1,49%"
"03.04.2025","31,34","30,55","31,91","30,40","2,72M","2,17%"
"02.04.2025","30,67","30,30","30,67","30,07","4,29M","0,94%"
"01.04.2025","30,39","29,84","30,64","29,84","1,49M","1,46%"
"31.03.2025","29,95","30,33","30,61","29,65","1,61M","-1,16%"
"28.03.2025","30,30","30,65","30,73","30,13","845,10K","-1,12%"
"27.03.2025","30,64","31,01","31,22","30,59","1,76M","-0,46%"
"26.03.2025","30,79","30,38","31,12","30,33","1,66M","1,41%"
"25.03.2025","30,36","29,80","30,57","29,60","2,01M","2,21%"
"24.03.2025","29,70","30,25","30,52","29,60","927,60K","-1,42%"
"21.03.2025","30,13","30,30","30,43","29,80","1,51M","-0,22%"
"20.03.2025","30,20","30,54","30,87","30,02","1,61M","-1,98%"
"19.03.2025","30,81","30,21","31,49","30,03","3,36M","2,47%"
"18.03.2025","30,06","28,84","30,18","28,68","3,49M","4,47%"
"17.03.2025","28,78","28,55","29,03","27,94","1,96M","0,67%"
"14.03.2025","28,59","28,07","28,84","28,07","1,45M","2,11%"
"13.03.2025","28,00","28,63","28,68","27,91","2,27M","-2,26%"
"12.03.2025","28,64","27,49","28,70","27,49","1,73M","3,37%"
"11.03.2025","27,71","28,41","28,63","27,16","3,90M","-3,48%"
"10.03.2025","28,71","28,74","28,99","28,37","1,60M","-0,95%"
"07.03.2025","28,99","28,40","29,32","28,03","1,80M","1,10%"
"06.03.2025","28,67","28,21","29,16","27,80","3,68M","1,66%"
"05.03.2025","28,21","27,73","28,21","26,95","1,48M","0,85%"
"28.02.2025","27,97","28,24","28,89","27,68","1,61M","-1,94%"
"27.02.2025","28,52","27,97","28,65","27,85","1,67M","1,63%"
"26.02.2025","28,06","29,28","29,47","27,98","1,54M","-3,51%"
"25.02.2025","29,08","29,35","29,84","29,07","1,70M","-1,13%"
"24.02.2025","29,42","30,84","31,03","29,20","1,28M","-4,72%"
"21.02.2025","30,87","29,70","30,89","29,50","2,54M","3,95%"
"20.02.2025","29,70","29,63","29,87","29,33","903,70K","0,03%"
"19.02.2025","29,69","29,82","30,00","29,50","1,23M","-1,58%"
"18.02.2025","30,17","29,88","30,24","29,75","2,04M","0,73%"
"17.02.2025","29,95","29,69","30,20","29,63","1,62M","0,87%"
"14.02.2025","29,69","29,44","29,96","29,20","1,44M","1,63%"
"13.02.2025","29,22","28,84","29,22","28,69","1,01M","1,02%"
"12.02.2025","28,92","28,74","29,03","28,38","1,30M","0,26%"
"11.02.2025","28,84","28,21","28,94","28,21","1,12M","1,41%"
"10.02.2025","28,44","28,33","28,92","28,21","1,79M","0,40%"
"07.02.2025","28,33","28,52","28,88","28,09","1,57M","-1,03%"
"06.02.2025","28,62","27,63","28,81","27,63","2,58M","2,77%"
"05.02.2025","27,85","28,36","28,45","27,56","1,16M","-1,81%"
"04.02.2025","28,37","27,90","28,37","27,63","1,93M","1,71%"
"03.02.2025","27,89","27,42","28,11","27,12","3,43M","1,70%"
"31.01.2025","27,42","27,56","27,61","27,26","1,88M","0,28%"
"30.01.2025","27,35","26,56","27,75","26,56","2,27M","3,24%"
"29.01.2025","26,49","26,21","26,71","26,02","1,71M","1,42%"
"28.01.2025","26,12","26,17","26,39","25,98","1,39M","-0,33%"
"27.01.2025","26,20","25,42","26,30","25,34","1,92M","2,77%"
"24.01.2025","25,50","24,77","25,62","24,61","1,94M","2,84%"
"23.01.2025","24,79","25,39","25,39","24,61","1,78M","-1,44%"
"22.01.2025","25,16","24,27","25,32","24,12","2,14M","3,49%"
"21.01.2025","24,31","24,14","24,43","23,89","1,97M","0,71%"
"20.01.2025","24,14","23,88","24,24","23,47","3,00M","0,08%"
"17.01.2025","24,12","24,45","24,63","23,98","1,72M","-0,94%"
"16.01.2025","24,35","24,77","24,86","24,08","1,82M","-1,81%"
"15.01.2025","24,79","23,39","24,88","23,39","3,83M","6,16%"
"14.01.2025","23,35","23,04","23,64","22,96","1,99M","1,07%"
"13.01.2025","23,11","23,01","23,20","22,75","1,63M","0,41%"
"10.01.2025","23,01","23,17","23,24","22,82","2,37M","-0,70%"
"09.01.2025","23,17","23,09","23,27","22,79","1,64M","0,04%"
"08.01.2025","23,16","24,34","24,34","22,96","4,14M","-4,96%"
"07.01.2025","24,37","24,39","24,97","24,25","2,17M","-0,08%"
"06.01.2025","24,39","24,16","24,50","24,00","1,99M","1,23%"
"03.01.2025","24,10","24,18","24,38","24,05","2,43M","-0,23%"
"02.01.2025","24,15","24,14","24,26","23,56","2,12M","0,08%"
"30.12.2024","24,13","24,45","24,65","24,01","1,25M","-1,04%"
"27.12.2024","24,39","24,65","24,84","24,31","2,32M","-0,59%"
"26.12.2024","24,53","24,72","24,81","24,41","1,31M","-0,73%"
"23.12.2024","24,72","25,40","25,42","24,70","1,81M","-2,58%"
"20.12.2024","25,37","24,33","25,51","24,05","4,43M","4,29%"
"19.12.2024","24,33","24,05","24,40","23,55","5,27M","1,44%"
"18.12.2024","23,98","24,81","25,00","23,69","2,29M","-3,93%"
"17.12.2024","24,96","25,02","25,31","24,53","2,99M","0,26%"
"16.12.2024","24,90","25,62","25,63","24,84","2,94M","-2,73%"
"13.12.2024","25,60","26,37","26,67","25,27","3,75M","-2,92%"
"12.12.2024","26,37","28,13","28,39","26,25","3,37M","-6,98%"
"11.12.2024","28,34","28,13","28,64","27,53","3,39M","1,23%"
