"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.08.2025","39,89","40,40","40,53","39,64","465,50K","-0,77%"
"01.08.2025","40,20","40,37","40,54","39,64","957,80K","0,68%"
"31.07.2025","39,93","40,70","40,70","39,49","1,13M","-2,16%"
"30.07.2025","40,81","41,85","42,15","40,54","1,74M","-2,39%"
"29.07.2025","41,81","42,03","42,31","41,75","772,10K","-0,45%"
"28.07.2025","42,00","42,15","42,45","41,46","699,10K","-0,36%"
"25.07.2025","42,15","42,42","42,99","42,08","403,20K","-0,99%"
"24.07.2025","42,57","42,49","42,63","41,66","1,11M","0,09%"
"23.07.2025","42,53","41,59","42,95","41,49","637,10K","2,24%"
"22.07.2025","41,60","42,08","42,62","41,07","1,23M","-0,88%"
"21.07.2025","41,97","41,81","42,33","41,21","902,10K","0,62%"
"18.07.2025","41,71","41,19","42,00","40,53","2,61M","1,04%"
"17.07.2025","41,28","42,00","42,28","41,25","982,20K","-1,01%"
"16.07.2025","41,70","41,80","42,01","41,32","689,60K","-0,07%"
"15.07.2025","41,73","42,73","42,80","41,73","1,31M","-1,81%"
"14.07.2025","42,50","41,54","42,50","41,14","1,52M","2,21%"
"11.07.2025","41,58","42,16","42,17","41,45","1,29M","-1,68%"
"10.07.2025","42,29","42,24","42,48","41,56","833,00K","-0,26%"
"09.07.2025","42,40","43,10","43,95","42,26","1,06M","-1,65%"
"08.07.2025","43,11","43,60","43,60","42,34","1,90M","-0,60%"
"07.07.2025","43,37","46,30","46,57","43,37","2,21M","-6,33%"
"04.07.2025","46,30","48,34","48,80","46,30","1,29M","-5,16%"
"03.07.2025","48,82","46,56","49,19","46,22","1,70M","4,49%"
"02.07.2025","46,72","45,92","46,87","45,10","1,42M","1,57%"
"01.07.2025","46,00","45,26","46,00","44,88","1,02M","1,30%"
"30.06.2025","45,41","44,75","45,81","44,62","1,51M","0,84%"
"27.06.2025","45,03","43,09","45,03","42,91","1,68M","4,24%"
"26.06.2025","43,20","42,54","43,50","42,51","900,50K","1,05%"
"25.06.2025","42,75","43,15","43,41","41,95","1,96M","-1,84%"
"24.06.2025","43,55","41,28","44,24","41,18","4,75M","5,19%"
"23.06.2025","41,40","39,90","41,40","39,83","1,85M","3,37%"
"20.06.2025","40,05","40,28","40,58","39,95","4,77M","-1,33%"
"18.06.2025","40,59","40,65","40,78","40,09","893,50K","0,40%"
"17.06.2025","40,43","40,85","40,90","40,23","2,13M","-0,54%"
"16.06.2025","40,65","40,69","41,04","40,31","1,20M","0,47%"
"13.06.2025","40,46","40,02","41,02","39,76","1,70M","0,27%"
"12.06.2025","40,35","40,03","40,37","39,91","805,40K","0,25%"
"11.06.2025","40,25","40,59","40,69","40,00","889,40K","-0,86%"
"10.06.2025","40,60","40,37","40,92","40,34","1,16M","0,57%"
"09.06.2025","40,37","40,58","40,77","39,89","997,10K","-0,57%"
"06.06.2025","40,60","41,00","41,24","40,50","1,17M","-0,83%"
