"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","10,87","10,76","10,90","10,68","14,80M","1,49%"
"06.08.2025","10,71","10,70","10,95","10,69","26,30M","1,71%"
"05.08.2025","10,53","10,38","10,60","10,34","15,02M","1,06%"
"04.08.2025","10,42","10,43","10,49","10,35","15,50M","0,77%"
"01.08.2025","10,34","10,45","10,50","10,24","16,52M","-0,10%"
"31.07.2025","10,35","10,28","10,37","10,22","25,87M","-0,48%"
"30.07.2025","10,40","10,24","10,49","10,16","19,95M","1,17%"
"29.07.2025","10,28","10,26","10,33","10,20","10,13M","0,29%"
"28.07.2025","10,25","10,44","10,49","10,17","16,52M","-1,82%"
"25.07.2025","10,44","10,41","10,50","10,39","9,23M","0,38%"
"24.07.2025","10,40","10,48","10,48","10,36","14,00M","-1,33%"
"23.07.2025","10,54","10,39","10,58","10,37","10,98M","1,35%"
"22.07.2025","10,40","10,56","10,60","10,36","16,38M","-1,52%"
"21.07.2025","10,56","10,48","10,60","10,43","14,44M","1,05%"
"18.07.2025","10,45","10,54","10,65","10,40","39,70M","-1,97%"
"17.07.2025","10,66","10,49","10,73","10,46","26,23M","1,62%"
"16.07.2025","10,49","10,47","10,52","10,38","21,24M","0,58%"
"15.07.2025","10,43","10,47","10,52","10,35","17,61M","0,10%"
"14.07.2025","10,42","10,44","10,48","10,34","38,52M","-0,57%"
"11.07.2025","10,48","10,51","10,52","10,37","30,79M","-0,66%"
"10.07.2025","10,55","10,60","10,61","10,41","41,56M","-1,40%"
"09.07.2025","10,70","10,91","10,94","10,68","19,32M","-2,01%"
"08.07.2025","10,92","10,93","10,94","10,83","13,70M","-0,27%"
"07.07.2025","10,95","11,11","11,13","10,93","16,75M","-1,53%"
"04.07.2025","11,12","11,10","11,15","11,06","5,72M","0,09%"
"03.07.2025","11,11","10,88","11,14","10,88","16,24M","2,11%"
"02.07.2025","10,88","11,00","11,05","10,79","18,37M","-1,09%"
"01.07.2025","11,00","10,97","11,02","10,93","14,24M","0,46%"
"30.06.2025","10,95","10,65","11,01","10,65","29,66M","2,24%"
"27.06.2025","10,71","10,65","10,77","10,64","16,24M","-0,28%"
"26.06.2025","10,74","10,75","10,83","10,71","21,83M","0,00%"
"25.06.2025","10,74","10,80","10,83","10,70","28,38M","-1,38%"
"24.06.2025","10,89","10,67","10,95","10,64","29,02M","2,16%"
"23.06.2025","10,66","10,76","10,76","10,57","28,05M","-0,85%"
"20.06.2025","10,75","10,74","10,78","10,62","40,47M","-0,64%"
"18.06.2025","10,82","10,81","10,89","10,72","24,14M","-0,18%"
"17.06.2025","10,84","10,84","10,84","10,75","24,37M","0,46%"
"16.06.2025","10,79","10,80","10,88","10,76","23,57M","0,75%"
"13.06.2025","10,71","10,66","10,76","10,61","16,99M","-1,02%"
"12.06.2025","10,82","10,74","10,88","10,70","24,86M","0,19%"
"11.06.2025","10,80","10,67","10,83","10,61","50,11M","0,93%"
"10.06.2025","10,70","10,88","10,93","10,68","33,17M","-0,74%"
"09.06.2025","10,78","10,79","10,84","10,61","18,69M","-0,28%"
"06.06.2025","10,81","10,83","10,88","10,76","23,01M","-0,18%"
"05.06.2025","10,83","10,95","10,95","10,76","14,84M","-1,10%"
"04.06.2025","10,95","11,03","11,07","10,88","15,86M","-0,27%"
"03.06.2025","10,98","10,94","11,05","10,91","27,67M","-0,18%"
"02.06.2025","11,00","11,12","11,15","10,88","25,07M","-0,42%"
"30.05.2025","11,05","11,07","11,12","10,92","49,09M","-0,18%"
"29.05.2025","11,07","11,08","11,19","11,00","23,61M","-0,72%"
"28.05.2025","11,15","11,26","11,28","11,08","29,42M","-1,06%"
"27.05.2025","11,27","11,28","11,38","11,19","25,55M","0,89%"
"26.05.2025","11,17","11,11","11,27","11,07","10,47M","0,24%"
"23.05.2025","11,14","10,89","11,14","10,78","39,61M","0,81%"
"22.05.2025","11,05","11,19","11,24","11,02","36,33M","-1,25%"
"21.05.2025","11,19","11,32","11,34","11,05","25,24M","-1,50%"
"20.05.2025","11,36","11,36","11,39","11,24","21,85M","0,18%"
"19.05.2025","11,34","11,18","11,43","11,16","31,21M","1,07%"
"16.05.2025","11,22","11,12","11,23","11,04","41,99M","0,72%"
"15.05.2025","11,14","11,05","11,14","10,98","38,04M","1,27%"
"14.05.2025","11,00","10,94","11,04","10,91","23,06M","0,27%"
"13.05.2025","10,97","10,86","11,02","10,86","48,28M","1,57%"
"12.05.2025","10,80","11,11","11,12","10,79","32,45M","-2,26%"
"09.05.2025","11,05","10,69","11,09","10,67","60,93M","4,25%"
"08.05.2025","10,60","10,66","10,84","10,59","45,37M","0,57%"
"07.05.2025","10,54","10,49","10,55","10,43","26,16M","0,86%"
"06.05.2025","10,45","10,48","10,49","10,36","28,73M","-0,29%"
"05.05.2025","10,48","10,56","10,59","10,42","37,78M","-0,47%"
"02.05.2025","10,53","10,67","10,68","10,42","24,88M","-1,59%"
"30.04.2025","10,70","10,57","10,70","10,51","39,27M","0,66%"
"29.04.2025","10,63","10,62","10,74","10,58","29,04M","0,00%"
"28.04.2025","10,63","10,55","10,66","10,53","17,55M","0,57%"
"25.04.2025","10,57","10,56","10,61","10,49","35,77M","0,09%"
"24.04.2025","10,56","10,38","10,57","10,36","37,11M","2,13%"
"23.04.2025","10,34","10,25","10,43","10,24","38,32M","1,67%"
"22.04.2025","10,17","9,92","10,20","9,90","25,00M","2,21%"
"17.04.2025","9,95","9,91","10,02","9,84","26,32M","0,61%"
"16.04.2025","9,89","9,88","9,98","9,86","38,03M","-0,20%"
"15.04.2025","9,91","9,74","9,95","9,73","28,51M","1,33%"
"14.04.2025","9,78","9,79","9,87","9,70","27,62M","1,35%"
"11.04.2025","9,65","9,60","9,79","9,50","37,80M","1,05%"
"10.04.2025","9,55","9,57","9,64","9,38","32,67M","-0,52%"
"09.04.2025","9,60","9,36","9,77","9,30","40,28M","2,35%"
"08.04.2025","9,38","9,49","9,57","9,36","37,41M","-0,21%"
"07.04.2025","9,40","9,23","9,53","9,16","53,46M","0,64%"
"04.04.2025","9,34","9,51","9,57","9,30","36,85M","-2,91%"
"03.04.2025","9,62","9,40","9,70","9,40","28,51M","1,80%"
"02.04.2025","9,45","9,44","9,52","9,37","19,83M","0,11%"
"01.04.2025","9,44","9,46","9,53","9,35","18,08M","-0,11%"
"31.03.2025","9,45","9,59","9,59","9,43","39,04M","-1,77%"
"28.03.2025","9,62","9,70","9,72","9,55","40,88M","-1,03%"
"27.03.2025","9,72","9,68","9,74","9,63","50,70M","0,83%"
"26.03.2025","9,64","9,75","9,78","9,62","44,26M","-0,72%"
"25.03.2025","9,71","9,61","9,85","9,60","35,02M","1,36%"
"24.03.2025","9,58","9,57","9,66","9,49","38,87M","0,21%"
"21.03.2025","9,56","9,59","9,62","9,54","49,83M","-0,10%"
"20.03.2025","9,57","9,65","9,71","9,56","34,76M","-0,83%"
"19.03.2025","9,65","9,60","9,74","9,56","50,18M","0,73%"
"18.03.2025","9,58","9,53","9,62","9,47","41,15M","0,74%"
"17.03.2025","9,51","9,28","9,53","9,26","29,57M","2,70%"
"14.03.2025","9,26","9,04","9,30","9,00","35,72M","3,12%"
"13.03.2025","8,98","8,85","9,01","8,83","30,34M","1,58%"
"12.03.2025","8,84","8,90","8,91","8,78","29,49M","-0,34%"
"11.03.2025","8,87","8,98","8,98","8,78","30,75M","-1,00%"
"10.03.2025","8,96","8,90","8,96","8,85","32,20M","0,00%"
"07.03.2025","8,96","8,85","9,00","8,80","26,62M","1,01%"
