"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","7,96","8,00","8,08","7,87","910,60K","-0,62%"
"06.08.2025","8,01","7,97","8,10","7,92","1,11M","0,63%"
"05.08.2025","7,96","7,87","7,96","7,71","1,08M","1,40%"
"04.08.2025","7,85","7,53","7,87","7,43","1,13M","3,97%"
"01.08.2025","7,55","7,52","7,79","7,52","1,33M","1,21%"
"31.07.2025","7,46","7,35","7,69","7,29","1,19M","2,90%"
"30.07.2025","7,25","7,16","7,31","7,08","593,30K","0,55%"
"29.07.2025","7,21","7,10","7,22","7,08","353,00K","1,41%"
"28.07.2025","7,11","7,27","7,27","7,06","629,30K","-2,20%"
"25.07.2025","7,27","7,23","7,27","7,19","225,70K","0,69%"
"24.07.2025","7,22","7,28","7,28","7,16","266,60K","-0,41%"
"23.07.2025","7,25","7,21","7,31","7,16","561,60K","0,83%"
"22.07.2025","7,19","7,18","7,30","7,14","430,40K","0,70%"
"21.07.2025","7,14","7,10","7,22","7,10","608,90K","0,28%"
"18.07.2025","7,12","7,25","7,30","7,12","611,40K","-1,93%"
"17.07.2025","7,26","7,32","7,32","7,22","304,40K","-0,95%"
"16.07.2025","7,33","7,30","7,33","7,18","593,10K","1,10%"
"15.07.2025","7,25","7,25","7,29","7,20","612,70K","0,28%"
"14.07.2025","7,23","7,32","7,32","7,20","542,10K","-0,69%"
"11.07.2025","7,28","7,31","7,31","7,23","396,70K","-0,14%"
"10.07.2025","7,29","7,24","7,35","7,18","602,70K","0,14%"
"09.07.2025","7,28","7,37","7,38","7,22","613,20K","-0,95%"
"08.07.2025","7,35","7,44","7,49","7,23","880,10K","-1,34%"
"07.07.2025","7,45","7,60","7,62","7,40","522,50K","-1,72%"
"04.07.2025","7,58","7,62","7,67","7,52","430,70K","-0,52%"
"03.07.2025","7,62","7,41","7,64","7,38","777,40K","3,11%"
"02.07.2025","7,39","7,38","7,42","7,27","919,60K","0,68%"
"01.07.2025","7,34","7,28","7,37","7,28","811,70K","0,96%"
"30.06.2025","7,27","7,39","7,40","7,27","977,20K","-0,82%"
"27.06.2025","7,33","7,30","7,35","7,25","494,70K","0,41%"
"26.06.2025","7,30","7,16","7,30","7,14","826,70K","1,96%"
"25.06.2025","7,16","7,34","7,34","7,14","997,40K","-1,65%"
"24.06.2025","7,28","7,36","7,39","7,25","629,70K","0,00%"
"23.06.2025","7,28","7,43","7,46","7,26","854,80K","-2,15%"
"20.06.2025","7,44","7,58","7,58","7,42","638,90K","-1,85%"
"18.06.2025","7,58","7,62","7,70","7,55","281,10K","-0,52%"
"17.06.2025","7,62","7,73","7,79","7,57","472,20K","-1,55%"
"16.06.2025","7,74","7,57","7,77","7,57","1,11M","2,38%"
"13.06.2025","7,56","7,61","7,68","7,52","403,40K","-1,05%"
"12.06.2025","7,64","7,72","7,74","7,59","387,20K","-1,55%"
"11.06.2025","7,76","7,53","7,76","7,44","569,00K","3,05%"
"10.06.2025","7,53","7,60","7,60","7,47","425,10K","0,53%"
"09.06.2025","7,49","7,64","7,64","7,47","494,60K","-1,96%"
"06.06.2025","7,64","7,84","7,86","7,55","478,20K","-2,30%"
"05.06.2025","7,82","7,75","7,95","7,75","591,20K","0,64%"
"04.06.2025","7,77","7,83","7,95","7,77","606,90K","-0,77%"
"03.06.2025","7,83","7,75","7,89","7,66","1,02M","1,95%"
"02.06.2025","7,68","7,52","7,71","7,38","1,51M","2,81%"
"30.05.2025","7,47","7,58","7,59","7,39","579,30K","-1,06%"
"29.05.2025","7,55","7,68","7,68","7,52","544,00K","-2,08%"
"28.05.2025","7,71","7,77","7,77","7,61","402,50K","-0,26%"
"27.05.2025","7,73","7,71","7,79","7,64","807,90K","0,65%"
"26.05.2025","7,68","7,63","7,75","7,58","405,60K","0,66%"
"23.05.2025","7,63","7,87","7,87","7,59","529,00K","-2,05%"
"22.05.2025","7,79","7,77","7,87","7,74","476,10K","0,26%"
"21.05.2025","7,77","7,79","7,92","7,75","623,00K","0,00%"
"20.05.2025","7,77","7,74","7,80","7,66","384,80K","0,39%"
"19.05.2025","7,74","7,86","7,90","7,74","606,90K","-1,53%"
"16.05.2025","7,86","8,01","8,08","7,86","674,30K","-2,96%"
"15.05.2025","8,10","7,96","8,10","7,90","537,70K","1,89%"
"14.05.2025","7,95","8,03","8,03","7,84","372,60K","-1,00%"
"13.05.2025","8,03","7,85","8,06","7,83","765,80K","2,29%"
"12.05.2025","7,85","8,17","8,20","7,83","499,60K","-3,56%"
"09.05.2025","8,14","8,05","8,14","7,98","1,03M","1,12%"
"08.05.2025","8,05","7,99","8,11","7,87","449,90K","2,32%"
"07.05.2025","7,87","7,90","8,00","7,83","549,70K","-0,88%"
"06.05.2025","7,94","7,83","7,98","7,75","651,10K","0,25%"
"05.05.2025","7,92","7,88","7,97","7,67","1,51M","0,50%"
"02.05.2025","7,88","7,88","7,93","7,64","1,30M","-1,90%"
"30.04.2025","8,03","7,70","8,16","7,66","1,35M","5,10%"
"29.04.2025","7,64","7,55","7,68","7,50","501,10K","1,33%"
"28.04.2025","7,54","7,48","7,57","7,43","345,00K","0,80%"
"25.04.2025","7,48","7,43","7,62","7,40","598,90K","0,54%"
"24.04.2025","7,44","7,11","7,48","7,10","1,01M","4,98%"
"23.04.2025","7,09","6,93","7,13","6,92","658,10K","2,21%"
"22.04.2025","6,93","6,86","6,95","6,84","334,20K","1,12%"
