"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","17,28","17,60","17,68","17,28","2,11M","-2,10%"
"06.08.2025","17,65","18,19","18,19","17,65","2,17M","-2,43%"
"05.08.2025","18,09","18,22","18,22","17,95","1,17M","-0,33%"
"04.08.2025","18,15","18,22","18,26","17,99","1,17M","0,06%"
"01.08.2025","18,14","18,40","18,49","18,14","1,80M","-1,04%"
"31.07.2025","18,33","18,08","18,40","18,01","1,55M","0,44%"
"30.07.2025","18,25","18,14","18,37","17,97","3,25M","0,61%"
"29.07.2025","18,14","17,92","18,28","17,87","1,37M","1,51%"
"28.07.2025","17,87","18,00","18,12","17,65","2,09M","-0,67%"
"25.07.2025","17,99","17,91","18,02","17,68","2,95M","0,22%"
"24.07.2025","17,95","17,94","18,10","17,86","2,19M","-0,50%"
"23.07.2025","18,04","17,95","18,12","17,87","1,48M","0,61%"
"22.07.2025","17,93","18,19","18,19","17,85","1,52M","-0,88%"
"21.07.2025","18,09","18,20","18,28","17,99","1,65M","-0,60%"
"18.07.2025","18,20","18,18","18,24","18,06","853,30K","0,11%"
"17.07.2025","18,18","18,41","18,54","18,18","1,63M","-1,09%"
"16.07.2025","18,38","18,22","18,49","18,09","3,51M","0,88%"
"15.07.2025","18,22","18,06","18,24","17,91","1,83M","0,44%"
"14.07.2025","18,14","18,09","18,31","18,02","2,87M","-0,33%"
"11.07.2025","18,20","18,04","18,26","18,03","1,63M","0,28%"
"10.07.2025","18,15","18,00","18,29","17,89","2,32M","0,83%"
"09.07.2025","18,00","18,44","18,70","18,00","5,21M","-2,07%"
"08.07.2025","18,38","18,30","18,48","18,23","1,32M","0,60%"
"07.07.2025","18,27","18,15","18,29","18,12","1,17M","0,94%"
"04.07.2025","18,10","18,01","18,25","18,01","1,31M","0,28%"
"03.07.2025","18,05","18,04","18,30","18,04","1,82M","0,22%"
"02.07.2025","18,01","17,90","18,03","17,78","2,62M","1,07%"
"01.07.2025","17,82","17,92","17,99","17,70","1,89M","-0,28%"
"30.06.2025","17,87","17,91","18,02","17,77","2,85M","-0,22%"
"27.06.2025","17,91","17,77","17,99","17,72","1,62M","0,00%"
"26.06.2025","17,91","17,86","17,98","17,70","2,14M","0,62%"
"25.06.2025","17,80","18,00","18,03","17,69","2,89M","-1,00%"
"24.06.2025","17,98","18,43","18,60","17,90","2,29M","-2,81%"
"23.06.2025","18,50","18,45","18,95","18,33","2,23M","0,27%"
"20.06.2025","18,45","18,50","18,53","18,23","2,48M","0,11%"
"18.06.2025","18,43","18,75","18,81","18,43","2,27M","-1,50%"
"17.06.2025","18,71","19,01","19,01","18,55","1,34M","-0,90%"
"16.06.2025","18,88","18,61","19,04","18,47","2,77M","2,11%"
"13.06.2025","18,49","18,35","18,66","18,31","1,81M","0,54%"
"12.06.2025","18,39","18,59","18,61","18,38","1,79M","-1,45%"
"11.06.2025","18,66","18,60","18,76","18,45","1,96M","0,16%"
"10.06.2025","18,63","18,53","18,85","18,48","1,44M","1,25%"
"09.06.2025","18,40","18,89","18,93","18,37","2,29M","-2,70%"
"06.06.2025","18,91","19,00","19,13","18,82","1,37M","-0,47%"
"05.06.2025","19,00","18,90","19,13","18,80","1,67M","0,58%"
"04.06.2025","18,89","19,02","19,23","18,89","1,77M","-0,32%"
"03.06.2025","18,95","18,79","19,22","18,74","1,75M","0,91%"
"02.06.2025","18,78","18,90","19,19","18,65","2,19M","-0,58%"
"30.05.2025","18,89","19,43","19,43","18,89","1,60M","-2,12%"
"29.05.2025","19,30","19,20","19,45","18,99","2,75M","0,05%"
"28.05.2025","19,29","19,20","19,38","19,12","1,66M","0,68%"
"27.05.2025","19,16","19,01","19,28","18,87","2,68M","1,54%"
"26.05.2025","18,87","18,81","19,14","18,81","1,83M","-0,05%"
"23.05.2025","18,88","18,36","18,97","18,24","2,33M","2,83%"
