"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","33,63","33,45","33,75","33,39","1,30M","0,66%"
"06.08.2025","33,41","33,32","33,56","33,21","1,97M","0,27%"
"05.08.2025","33,32","33,34","33,76","33,29","1,35M","-0,33%"
"04.08.2025","33,43","33,51","33,62","33,10","1,52M","-0,03%"
"01.08.2025","33,44","33,56","33,90","33,38","985,40K","0,24%"
"31.07.2025","33,36","33,55","33,73","33,16","1,51M","-0,86%"
"30.07.2025","33,65","33,40","33,98","33,25","1,24M","0,84%"
"29.07.2025","33,37","33,22","33,60","33,16","913,60K","0,21%"
"28.07.2025","33,30","33,49","33,73","33,18","899,50K","-0,57%"
"25.07.2025","33,49","33,63","33,74","33,40","781,30K","-0,24%"
"24.07.2025","33,57","33,70","33,79","33,42","955,20K","-0,39%"
"23.07.2025","33,70","33,45","33,88","33,41","761,40K","0,99%"
"22.07.2025","33,37","33,80","34,26","33,37","1,48M","-1,24%"
"21.07.2025","33,79","33,80","34,02","33,59","1,71M","-0,06%"
"18.07.2025","33,81","33,40","33,85","33,33","1,45M","0,68%"
"17.07.2025","33,58","33,71","33,73","33,36","1,07M","-0,62%"
"16.07.2025","33,79","33,80","33,82","33,47","1,11M","0,27%"
"15.07.2025","33,70","33,90","34,04","33,46","1,88M","-0,53%"
"14.07.2025","33,88","34,11","34,11","33,61","1,15M","-0,35%"
"11.07.2025","34,00","34,12","34,13","33,86","942,90K","-0,47%"
"10.07.2025","34,16","34,17","34,34","34,01","1,08M","-0,20%"
"09.07.2025","34,23","34,69","34,69","34,23","1,29M","-1,07%"
"08.07.2025","34,60","34,76","34,88","34,41","1,03M","-0,37%"
"07.07.2025","34,73","35,00","35,15","34,73","942,10K","-0,86%"
"04.07.2025","35,03","35,01","35,17","34,85","651,60K","-0,09%"
"03.07.2025","35,06","34,62","35,06","34,49","734,40K","1,62%"
"02.07.2025","34,50","35,17","35,17","34,32","1,67M","-1,63%"
"01.07.2025","35,07","34,81","35,08","34,81","1,15M","0,40%"
"30.06.2025","34,93","34,40","34,93","34,28","1,63M","1,54%"
"27.06.2025","34,40","34,53","34,65","34,28","1,64M","-0,15%"
"26.06.2025","34,45","34,50","34,76","34,43","954,40K","-0,03%"
"25.06.2025","34,46","34,40","34,56","34,15","1,81M","0,47%"
"24.06.2025","34,30","34,40","34,64","34,25","874,20K","0,12%"
"23.06.2025","34,26","34,53","34,53","34,12","1,16M","-0,81%"
"20.06.2025","34,54","34,24","34,54","34,08","5,13M","0,88%"
"18.06.2025","34,24","34,48","34,61","34,21","1,46M","-0,72%"
"17.06.2025","34,49","34,61","34,73","34,19","1,00M","0,09%"
"16.06.2025","34,46","34,19","34,56","34,01","1,22M","1,44%"
"13.06.2025","33,97","33,98","34,24","33,67","1,50M","-0,03%"
"12.06.2025","33,98","33,99","34,08","33,80","1,16M","-0,09%"
"11.06.2025","34,01","34,22","34,22","33,85","1,01M","-0,50%"
"10.06.2025","34,18","34,05","34,44","33,96","1,51M","0,38%"
"09.06.2025","34,05","34,19","34,36","33,74","1,32M","-0,93%"
"06.06.2025","34,37","34,50","34,61","34,15","1,34M","-0,09%"
"05.06.2025","34,40","34,86","34,86","34,30","1,20M","-0,86%"
"04.06.2025","34,70","35,33","35,51","34,69","1,95M","-1,70%"
"03.06.2025","35,30","34,85","35,53","34,74","1,55M","1,26%"
"02.06.2025","34,86","35,36","35,46","34,76","2,26M","-1,47%"
"30.05.2025","35,38","35,50","35,84","35,29","2,97M","-0,31%"
"29.05.2025","35,49","35,62","35,79","35,39","1,12M","-0,34%"
"28.05.2025","35,61","35,30","35,82","34,98","3,36M","-2,49%"
"27.05.2025","36,52","35,85","36,77","35,84","2,19M","1,90%"
