"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.08.2025","4,31","4,39","4,44","4,30","4,45M","-1,82%"
"04.08.2025","4,39","4,43","4,45","4,32","10,03M","0,00%"
"01.08.2025","4,39","4,45","4,45","4,33","19,71M","0,23%"
"31.07.2025","4,38","4,13","4,43","4,05","38,01M","5,80%"
"30.07.2025","4,14","4,17","4,21","4,10","17,19M","-1,43%"
"29.07.2025","4,20","4,21","4,23","4,14","13,35M","0,72%"
"28.07.2025","4,17","4,16","4,21","4,11","13,79M","-0,71%"
"25.07.2025","4,20","4,28","4,28","4,14","22,51M","-1,87%"
"24.07.2025","4,28","4,30","4,36","4,26","8,22M","-1,83%"
"23.07.2025","4,36","4,24","4,40","4,19","16,41M","2,59%"
"22.07.2025","4,25","4,06","4,37","4,06","29,09M","5,99%"
"21.07.2025","4,01","3,95","4,08","3,93","12,53M","2,30%"
"18.07.2025","3,92","4,01","4,02","3,90","15,62M","-2,73%"
"17.07.2025","4,03","4,01","4,11","4,00","10,98M","0,50%"
"16.07.2025","4,01","4,07","4,10","3,98","23,92M","-4,52%"
"15.07.2025","4,20","4,21","4,24","4,14","12,35M","-0,47%"
"14.07.2025","4,22","4,27","4,28","4,19","7,50M","-1,63%"
"11.07.2025","4,29","4,30","4,32","4,23","7,22M","-0,69%"
"10.07.2025","4,32","4,19","4,40","4,17","22,33M","1,89%"
"09.07.2025","4,24","4,40","4,40","4,24","7,66M","-3,20%"
"08.07.2025","4,38","4,42","4,42","4,35","7,85M","-0,23%"
"07.07.2025","4,39","4,48","4,48","4,36","7,90M","-1,79%"
"04.07.2025","4,47","4,40","4,49","4,37","6,72M","1,36%"
"03.07.2025","4,41","4,34","4,46","4,29","12,69M","2,08%"
"02.07.2025","4,32","4,12","4,36","4,11","23,21M","5,37%"
"01.07.2025","4,10","4,10","4,15","4,09","11,11M","-0,49%"
"30.06.2025","4,12","4,15","4,16","4,09","13,09M","-0,72%"
"27.06.2025","4,15","4,17","4,19","4,11","12,14M","0,24%"
"26.06.2025","4,14","4,10","4,16","4,03","22,00M","2,99%"
"25.06.2025","4,02","4,12","4,16","4,00","29,08M","-4,29%"
"24.06.2025","4,20","4,37","4,39","4,18","21,82M","-3,45%"
"23.06.2025","4,35","4,42","4,42","4,24","20,93M","-1,14%"
"20.06.2025","4,40","4,54","4,56","4,39","17,30M","-3,08%"
"18.06.2025","4,54","4,61","4,67","4,53","17,17M","-1,09%"
"17.06.2025","4,59","4,81","4,82","4,58","42,52M","-6,90%"
"16.06.2025","4,93","4,82","4,94","4,81","9,60M","3,35%"
"13.06.2025","4,77","5,01","5,02","4,77","31,70M","-5,92%"
"12.06.2025","5,07","5,15","5,16","5,00","16,75M","-1,93%"
"11.06.2025","5,17","5,17","5,18","5,09","11,59M","0,00%"
"10.06.2025","5,17","5,28","5,30","5,12","13,54M","-1,52%"
"09.06.2025","5,25","5,16","5,27","5,10","8,17M","1,35%"
"06.06.2025","5,18","5,19","5,21","5,14","5,58M","0,19%"
"05.06.2025","5,17","5,25","5,28","5,13","9,89M","-0,96%"
"04.06.2025","5,22","5,29","5,35","5,17","7,61M","-1,14%"
"03.06.2025","5,28","5,18","5,30","5,17","6,21M","1,93%"
"02.06.2025","5,18","5,23","5,30","5,17","8,83M","-0,38%"
"30.05.2025","5,20","5,23","5,27","5,12","10,16M","-0,57%"
"29.05.2025","5,23","5,33","5,38","5,22","9,70M","-1,51%"
"28.05.2025","5,31","5,57","5,59","5,28","16,34M","-4,67%"
"27.05.2025","5,57","5,35","5,63","5,35","17,11M","4,11%"
"26.05.2025","5,35","5,35","5,37","5,31","3,44M","0,38%"
"23.05.2025","5,33","5,20","5,35","5,15","10,48M","1,72%"
"22.05.2025","5,24","5,34","5,36","5,22","9,03M","-1,69%"
"21.05.2025","5,33","5,46","5,46","5,32","8,92M","-2,20%"
"20.05.2025","5,45","5,52","5,52","5,40","7,22M","-0,73%"
"19.05.2025","5,49","5,50","5,56","5,46","5,63M","-0,36%"
"16.05.2025","5,51","5,48","5,54","5,46","8,70M","-0,72%"
"15.05.2025","5,55","5,50","5,59","5,48","6,41M","0,91%"
"14.05.2025","5,50","5,56","5,57","5,45","8,55M","-0,72%"
"13.05.2025","5,54","5,43","5,61","5,42","10,16M","1,84%"
"12.05.2025","5,44","5,55","5,60","5,42","9,08M","1,12%"
"09.05.2025","5,38","5,64","5,64","5,27","17,44M","-3,93%"
"08.05.2025","5,60","5,52","5,69","5,51","10,86M","2,56%"
"07.05.2025","5,46","5,44","5,49","5,37","9,62M","0,74%"
"06.05.2025","5,42","5,45","5,54","5,39","5,48M","0,00%"
"05.05.2025","5,42","5,54","5,59","5,39","6,51M","-1,81%"
"02.05.2025","5,52","5,54","5,56","5,44","10,22M","-0,18%"
"30.04.2025","5,53","5,69","5,70","5,50","12,70M","-3,49%"
"29.04.2025","5,73","5,75","5,82","5,70","10,77M","-0,35%"
"28.04.2025","5,75","5,73","5,79","5,67","9,81M","0,35%"
"25.04.2025","5,73","5,83","5,90","5,69","17,70M","-1,38%"
"24.04.2025","5,81","6,15","6,25","5,67","48,30M","-4,28%"
