"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","54,11","54,10","54,48","53,91","20,32M","0,63%"
"06.08.2025","53,77","54,51","54,61","53,73","17,89M","-0,63%"
"05.08.2025","54,11","54,17","54,97","54,11","21,01M","-0,13%"
"04.08.2025","54,18","54,39","54,40","53,81","16,18M","0,80%"
"01.08.2025","53,75","54,24","54,90","53,57","40,47M","0,54%"
"31.07.2025","53,46","53,01","53,62","52,37","20,77M","-0,71%"
"30.07.2025","53,84","54,32","54,69","53,33","35,56M","-1,79%"
"29.07.2025","54,82","55,55","55,70","54,77","14,58M","-0,62%"
"28.07.2025","55,16","54,94","55,32","54,64","19,11M","-0,97%"
"25.07.2025","55,70","56,18","56,28","55,27","21,90M","-1,47%"
"24.07.2025","56,53","56,94","57,29","56,29","21,63M","-1,55%"
"23.07.2025","57,42","57,45","57,90","57,00","17,83M","-0,14%"
"22.07.2025","57,50","56,95","57,97","56,91","40,78M","2,59%"
"21.07.2025","56,05","55,45","56,82","55,34","40,46M","2,73%"
"18.07.2025","54,56","54,05","54,78","53,97","23,65M","0,48%"
"17.07.2025","54,30","54,40","54,79","54,12","20,21M","-0,18%"
"16.07.2025","54,40","54,10","54,52","53,91","26,33M","0,91%"
"15.07.2025","53,91","54,93","55,36","53,52","24,98M","-2,62%"
"14.07.2025","55,36","55,86","55,91","54,87","15,12M","-1,14%"
"11.07.2025","56,00","55,20","56,22","55,01","18,29M","1,30%"
"10.07.2025","55,28","55,34","57,12","55,20","46,53M","2,29%"
"09.07.2025","54,04","54,70","54,70","53,75","12,07M","-0,99%"
"08.07.2025","54,58","54,52","55,59","54,36","26,61M","0,35%"
"07.07.2025","54,39","55,05","55,18","54,20","13,16M","-1,47%"
"04.07.2025","55,20","55,03","55,20","54,75","5,42M","0,29%"
"03.07.2025","55,04","55,50","55,88","54,82","18,22M","-0,47%"
"02.07.2025","55,30","53,81","55,70","53,80","63,03M","3,64%"
"01.07.2025","53,36","52,60","53,71","52,50","21,83M","1,35%"
"30.06.2025","52,65","52,79","53,03","52,44","19,90M","-0,66%"
"27.06.2025","53,00","52,19","53,09","51,91","26,18M","1,92%"
"26.06.2025","52,00","50,84","52,30","50,84","39,63M","3,01%"
"25.06.2025","50,48","50,25","50,60","49,72","23,29M","-0,12%"
"24.06.2025","50,54","50,74","50,75","50,14","18,55M","-0,02%"
"23.06.2025","50,55","50,02","50,55","49,83","17,23M","1,26%"
"20.06.2025","49,92","51,24","51,28","49,92","39,65M","-2,58%"
"18.06.2025","51,24","51,41","51,73","51,08","20,46M","-0,33%"
"17.06.2025","51,41","53,63","53,89","51,38","43,56M","-4,50%"
"16.06.2025","53,83","52,31","54,05","52,31","41,14M","3,26%"
"13.06.2025","52,13","52,07","52,51","51,96","13,22M","-1,33%"
"12.06.2025","52,83","52,90","53,04","52,47","11,11M","-0,66%"
"11.06.2025","53,18","53,81","53,81","52,99","13,63M","-0,88%"
"10.06.2025","53,65","53,30","53,87","53,11","18,88M","0,68%"
"09.06.2025","53,29","52,89","53,29","52,62","12,98M","0,59%"
"06.06.2025","52,98","53,15","53,47","52,71","16,63M","0,13%"
"05.06.2025","52,91","53,00","53,66","52,87","12,58M","0,27%"
"04.06.2025","52,77","52,62","53,33","52,62","11,56M","0,46%"
"03.06.2025","52,53","51,93","52,64","51,87","12,78M","-0,06%"
"02.06.2025","52,56","52,58","52,75","52,26","19,24M","0,88%"
"30.05.2025","52,10","53,35","53,39","52,05","28,25M","-2,53%"
"29.05.2025","53,45","53,73","53,88","53,33","10,21M","0,07%"
"28.05.2025","53,41","53,74","53,79","53,19","17,67M","-0,80%"
"27.05.2025","53,84","54,00","54,21","53,62","17,93M","-0,31%"
"26.05.2025","54,01","53,94","54,09","53,80","7,15M","-0,57%"
"23.05.2025","54,32","54,00","54,44","53,59","14,74M","0,17%"
"22.05.2025","54,23","54,62","54,64","53,97","18,38M","-0,75%"
"21.05.2025","54,64","55,15","55,30","54,44","14,47M","-1,28%"
"20.05.2025","55,35","55,33","55,53","55,09","10,44M","0,02%"
"19.05.2025","55,34","55,00","55,50","54,87","14,46M","-0,27%"
"16.05.2025","55,49","55,20","55,67","54,81","18,12M","0,07%"
"15.05.2025","55,45","55,00","55,65","54,84","13,92M","1,00%"
"14.05.2025","54,90","55,50","55,69","54,84","16,25M","-0,49%"
"13.05.2025","55,17","54,49","55,43","54,13","21,17M","1,64%"
"12.05.2025","54,28","54,56","55,20","54,28","26,47M","2,51%"
"09.05.2025","52,95","53,00","53,08","52,51","15,52M","0,40%"
"08.05.2025","52,74","52,90","53,30","52,67","15,40M","-0,30%"
"07.05.2025","52,90","53,55","53,55","52,66","11,23M","-0,19%"
"06.05.2025","53,00","52,99","53,58","52,92","12,05M","0,08%"
"05.05.2025","52,96","52,90","53,08","52,73","12,15M","0,30%"
"02.05.2025","52,80","53,26","53,56","52,55","17,11M","-0,11%"
"30.04.2025","52,86","52,60","53,25","52,21","18,74M","-1,82%"
"29.04.2025","53,84","54,21","54,34","53,84","11,79M","-0,37%"
"28.04.2025","54,04","53,90","54,18","53,63","11,98M","0,35%"
"25.04.2025","53,85","54,50","54,62","53,64","26,14M","-2,64%"
"24.04.2025","55,31","54,45","55,67","54,31","19,59M","1,56%"
"23.04.2025","54,46","54,90","55,35","54,40","18,33M","1,19%"
"22.04.2025","53,82","53,16","54,29","52,76","16,76M","1,78%"
"17.04.2025","52,88","52,78","53,32","52,56","23,05M","0,61%"
"16.04.2025","52,56","53,52","53,64","52,42","23,07M","-2,32%"
"15.04.2025","53,81","54,38","54,65","53,53","17,44M","-1,01%"
"14.04.2025","54,36","54,40","54,88","54,19","19,95M","1,30%"
"11.04.2025","53,66","52,56","54,15","52,56","22,09M","1,67%"
"10.04.2025","52,78","52,10","53,24","51,46","37,99M","1,79%"
"09.04.2025","51,85","49,15","52,06","48,77","56,36M","5,39%"
"08.04.2025","49,20","52,35","52,81","49,02","46,64M","-5,48%"
"07.04.2025","52,05","51,71","53,48","51,17","35,90M","-1,20%"
"04.04.2025","52,68","53,22","53,52","51,60","45,78M","-3,99%"
"03.04.2025","54,87","56,00","56,44","54,76","32,17M","-3,62%"
"02.04.2025","56,93","57,21","57,30","56,60","13,02M","-0,45%"
"01.04.2025","57,19","57,10","57,93","56,95","12,33M","0,86%"
"31.03.2025","56,70","56,72","57,02","56,03","20,44M","-1,49%"
"28.03.2025","57,56","58,10","58,38","57,56","31,12M","-1,01%"
"27.03.2025","58,15","58,00","58,45","57,61","15,31M","0,80%"
"26.03.2025","57,69","57,40","58,04","57,39","29,38M","0,61%"
"25.03.2025","57,34","57,32","57,75","57,11","15,60M","0,33%"
"24.03.2025","57,15","57,95","58,24","56,96","18,62M","-0,52%"
"21.03.2025","57,45","56,95","57,45","56,83","30,43M","0,37%"
"20.03.2025","57,24","57,04","57,49","56,78","17,19M","-0,31%"
"19.03.2025","57,42","57,35","57,55","56,85","23,18M","-0,17%"
"18.03.2025","57,52","57,20","57,56","56,62","18,13M","0,74%"
"17.03.2025","57,10","56,29","57,24","56,14","22,85M","1,44%"
"14.03.2025","56,29","55,20","56,41","55,16","31,77M","3,28%"
"13.03.2025","54,50","53,88","55,16","53,70","20,57M","1,38%"
"12.03.2025","53,76","54,50","54,50","53,15","18,79M","-1,25%"
"11.03.2025","54,44","54,08","54,72","53,41","23,02M","0,83%"
"10.03.2025","53,99","54,23","54,55","53,25","23,58M","-1,62%"
"07.03.2025","54,88","53,88","55,20","53,46","25,45M","1,46%"
"06.03.2025","54,09","53,55","54,40","53,46","17,68M","1,10%"
"05.03.2025","53,50","54,04","54,11","53,31","13,84M","-2,99%"
"28.02.2025","55,15","55,94","56,14","55,15","46,78M","-2,04%"
"27.02.2025","56,30","56,45","56,99","56,01","18,66M","-0,74%"
"26.02.2025","56,72","57,37","57,69","56,72","25,40M","-0,61%"
"25.02.2025","57,07","57,30","57,44","56,89","19,55M","-0,97%"
"24.02.2025","57,63","58,10","58,57","57,48","19,08M","-0,91%"
"21.02.2025","58,16","57,90","58,16","57,56","37,10M","0,73%"
"20.02.2025","57,74","56,80","58,16","56,48","76,93M","3,68%"
"19.02.2025","55,69","55,30","55,73","54,72","26,47M","-0,09%"
"18.02.2025","55,74","55,60","55,97","55,51","27,61M","0,67%"
"17.02.2025","55,37","55,64","55,92","55,28","12,39M","-0,54%"
"14.02.2025","55,67","55,22","55,81","55,00","49,80M","1,48%"
"13.02.2025","54,86","54,85","55,00","54,13","21,75M","0,13%"
"12.02.2025","54,79","55,01","55,29","54,70","35,43M","-0,67%"
"11.02.2025","55,16","54,91","55,19","54,39","18,20M","-0,43%"
"10.02.2025","55,40","54,87","55,40","54,84","15,57M","1,04%"
"07.02.2025","54,83","55,30","55,78","54,56","24,39M","-0,54%"
"06.02.2025","55,13","55,40","55,64","54,97","32,79M","1,51%"
