"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.08.2025","39,00","38,18","39,63","38,18","14,20M","2,20%"
"06.08.2025","38,16","37,40","38,22","37,32","9,75M","2,77%"
"05.08.2025","37,13","37,07","37,41","36,93","5,73M","0,16%"
"04.08.2025","37,07","37,41","37,79","37,02","6,62M","-0,30%"
"01.08.2025","37,18","37,27","37,32","36,34","16,11M","0,19%"
"31.07.2025","37,11","36,61","37,33","35,90","15,04M","0,71%"
"30.07.2025","36,85","36,65","37,48","35,75","18,97M","0,74%"
"29.07.2025","36,58","37,15","37,94","36,58","14,27M","-0,41%"
"28.07.2025","36,73","36,10","36,73","36,00","11,11M","2,03%"
"25.07.2025","36,00","36,32","36,43","35,77","19,05M","-0,17%"
"24.07.2025","36,06","38,02","38,42","35,91","29,98M","-4,68%"
"23.07.2025","37,83","39,12","39,75","37,83","30,98M","-8,01%"
"22.07.2025","41,12","41,80","42,05","41,12","8,94M","-1,55%"
"21.07.2025","41,77","42,84","42,85","41,58","7,73M","-1,41%"
"18.07.2025","42,37","42,24","42,88","42,02","13,70M","0,67%"
"17.07.2025","42,09","41,40","42,51","41,38","17,89M","2,36%"
"16.07.2025","41,12","39,85","41,30","39,70","11,52M","3,66%"
"15.07.2025","39,67","39,60","39,97","39,22","7,13M","0,35%"
"14.07.2025","39,53","39,58","40,10","39,53","5,02M","-0,55%"
"11.07.2025","39,75","39,86","40,08","39,37","11,07M","-0,38%"
"10.07.2025","39,90","39,44","40,24","39,19","12,60M","-0,52%"
"09.07.2025","40,11","40,50","40,55","39,96","11,54M","-1,23%"
"08.07.2025","40,61","42,69","42,69","40,44","11,00M","-4,06%"
"07.07.2025","42,33","43,00","43,11","42,24","4,16M","-1,56%"
"04.07.2025","43,00","42,87","43,38","42,79","3,49M","0,68%"
"03.07.2025","42,71","42,50","42,95","42,23","6,95M","0,66%"
"02.07.2025","42,43","42,28","43,12","42,11","7,02M","-0,16%"
"01.07.2025","42,50","42,68","42,99","42,36","7,11M","-0,65%"
"30.06.2025","42,78","42,31","43,13","42,23","10,28M","1,02%"
"27.06.2025","42,35","42,71","43,45","42,35","6,98M","-1,67%"
"26.06.2025","43,07","41,89","43,62","41,89","11,15M","2,99%"
"25.06.2025","41,82","41,51","41,91","41,11","4,07M","0,92%"
"24.06.2025","41,44","42,00","42,10","41,22","4,73M","-0,38%"
"23.06.2025","41,60","41,35","41,79","40,85","6,08M","0,13%"
"20.06.2025","41,55","41,34","42,30","41,22","9,36M","-0,53%"
"18.06.2025","41,77","41,46","41,95","41,35","4,33M","1,09%"
"17.06.2025","41,32","42,42","42,80","41,02","8,38M","-2,66%"
"16.06.2025","42,44","42,61","43,33","42,32","5,90M","0,13%"
"13.06.2025","42,39","41,75","42,93","41,60","4,92M","0,31%"
"12.06.2025","42,26","42,00","42,64","41,60","5,46M","-0,07%"
"11.06.2025","42,29","42,30","42,58","41,62","5,02M","-0,02%"
"10.06.2025","42,30","43,39","43,39","42,15","5,96M","-1,26%"
"09.06.2025","42,84","42,43","42,96","41,82","4,15M","0,63%"
"06.06.2025","42,57","42,54","43,00","42,49","4,54M","0,07%"
"05.06.2025","42,54","43,13","43,90","42,54","12,05M","-1,44%"
"04.06.2025","43,16","42,09","43,27","41,96","12,86M","3,50%"
"03.06.2025","41,70","41,70","42,38","41,68","6,51M","-0,36%"
"02.06.2025","41,85","42,35","42,35","41,60","7,71M","-1,18%"
"30.05.2025","42,35","44,09","44,14","42,35","13,57M","-3,79%"
"29.05.2025","44,02","44,40","44,60","43,90","6,97M","-1,43%"
"28.05.2025","44,66","44,60","44,66","44,06","5,29M","0,16%"
"27.05.2025","44,59","44,24","44,78","43,96","5,49M","1,97%"
"26.05.2025","43,73","43,89","44,14","43,69","1,91M","0,09%"
