"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"12/02/2025","18,11","18,17","-0,44","18,07","18,21","105,69M"
"11/02/2025","18,21","18,25","1,73","17,84","18,30","56,60M"
"10/02/2025","18,21","17,94","-1,21","17,94","18,39","29,56M"
"07/02/2025","18,00","18,16","0,83","17,99","18,24","82,58M"
"06/02/2025","17,64","18,01","-0,55","17,79","18,13","110,82M"
"05/02/2025","17,44","18,11","2,72","17,52","18,14","134,01M"
"04/02/2025","17,35","17,63","0,86","17,44","17,85","123,42M"
"03/02/2025","17,35","17,48","0,69","17,45","17,55","47,65M"
"31/01/2025","17,91","17,36","-2,96","17,36","17,44","111,66M"
"30/01/2025","17,70","17,89","2,11","17,49","17,94","105,63M"
"29/01/2025","18,09","17,52","-0,79","17,40","17,85","73,08M"
"28/01/2025","17,83","17,66","-2,27","17,63","18,09","80,89M"
"27/01/2025","17,83","18,07","1,35","17,67","18,13","45,43M"
"24/01/2025","18,16","17,83","-1,60","17,54","18,18","108,66M"
"23/01/2025","17,95","18,12","0,67","17,98","18,17","62,93M"
"22/01/2025","17,95","18,00","-0,22","17,82","18,10","54,91M"
"21/01/2025","18,05","18,04","0,28","17,82","18,06","43,88M"
"20/01/2025","18,05","17,99","-0,11","17,82","18,13","20,26M"
"17/01/2025","17,80","18,01","1,75","17,70","18,02","46,96M"
"16/01/2025","17,88","17,70","-0,45","17,57","17,98","51,94M"
"15/01/2025","17,88","17,78","0,51","17,52","17,86","54,71M"
"14/01/2025","17,38","17,69","1,84","17,29","17,70","67,25M"
"13/01/2025","17,20","17,37","1,05","17,20","17,65","39,12M"
"10/01/2025","17,14","17,19","-1,15","17,06","17,69","64,13M"
"09/01/2025","17,33","17,39","1,52","17,02","17,42","44,28M"
"08/01/2025","17,22","17,13","-1,15","17,13","17,36","59,78M"
"07/01/2025","17,22","17,33","0,64","17,10","17,37","62,96M"
"06/01/2025","17,04","17,22","1,18","17,10","17,30","26,55M"
"03/01/2025","17,50","17,02","-1,73","17,02","17,28","59,21M"
"02/01/2025","17,70","17,32","-1,03","17,28","17,68","61,22M"
"30/12/2024","17,70","17,50","-1,02","17,40","17,78","24,71M"
"27/12/2024","17,78","17,68","-0,23","17,57","17,94","63,69M"
"26/12/2024","18,36","17,72","-1,17","17,68","18,03","68,67M"
"23/12/2024","n/d","17,93","-2,61","17,76","18,36","38,31M"
"20/12/2024","18,71","18,41","-0,05","18,12","18,48","81,94M"
"19/12/2024","19,14","18,42","-1,44","18,33","18,92","93,90M"
"18/12/2024","19,10","18,69","-2,66","18,66","19,24","133,00M"
"17/12/2024","19,16","19,20","0,52","19,09","19,35","117,41M"
"16/12/2024","19,16","19,10","-0,37","19,04","19,28","34,40M"
"13/12/2024","19,36","19,17","0,84","19,14","19,27","77,28M"
"12/12/2024","19,00","19,01","-0,73","18,83","19,03","77,33M"
"11/12/2024","19,00","19,15","1,06","18,85","19,20","45,64M"
"10/12/2024","18,57","18,95","1,45","18,69","19,00","65,70M"
"09/12/2024","18,57","18,68","0,59","18,45","18,71","30,28M"
"06/12/2024","18,84","18,57","-2,21","18,38","19,07","108,72M"
"05/12/2024","18,56","18,99","1,23","18,66","19,08","104,86M"
"04/12/2024","18,00","18,76","0,27","18,51","18,83","122,77M"
"03/12/2024","17,91","18,71","4,12","17,83","18,73","178,05M"
"02/12/2024","n/d","17,97","3,22","17,87","18,79","101,16M"
"29/11/2024","17,52","17,41","-0,63","17,25","17,44","108,55M"
"28/11/2024","17,09","17,52","2,64","16,90","17,74","96,20M"
"27/11/2024","17,08","17,07","0,89","16,88","17,35","65,77M"
"26/11/2024","16,80","16,92","0,42","16,80","17,03","59,89M"
"25/11/2024","n/d","16,85","0,06","16,80","17,08","24,17M"
"22/11/2024","16,90","16,84","0,60","16,68","16,87","46,41M"
"21/11/2024","17,01","16,74","-1,70","16,74","17,01","45,61M"
"19/11/2024","17,00","17,03","0,12","16,91","17,10","39,76M"
"18/11/2024","17,00","17,01","0,18","16,96","17,26","21,47M"
"14/11/2024","17,27","16,98","-1,28","16,96","17,47","78,08M"
"13/11/2024","17,33","17,20","-1,26","16,81","17,42","68,58M"
"12/11/2024","17,35","17,42","-0,29","17,31","17,55","52,23M"
"11/11/2024","17,35","17,47","0,69","17,21","17,54","25,71M"
"08/11/2024","17,89","17,35","-0,69","17,17","17,71","63,20M"
"07/11/2024","17,32","17,47","-2,40","17,47","18,11","101,15M"
"06/11/2024","17,27","17,90","3,23","17,08","18,30","86,01M"
"05/11/2024","17,40","17,34","0,41","17,17","17,45","55,04M"
"04/11/2024","17,40","17,27","-0,17","17,16","17,48","38,40M"
"01/11/2024","17,12","17,30","1,70","16,95","17,35","29,37M"
"31/10/2024","17,20","17,01","-1,96","17,01","17,58","30,67M"
"30/10/2024","17,11","17,35","0,93","17,11","17,41","30,11M"
"29/10/2024","17,18","17,19","-0,06","17,01","17,20","56,71M"
"28/10/2024","17,38","17,20","-0,12","17,18","17,38","27,37M"
"25/10/2024","17,32","17,22","-0,92","17,22","17,39","39,98M"
"24/10/2024","17,17","17,38","1,05","17,14","17,38","27,15M"
"23/10/2024","17,32","17,20","-0,86","17,15","17,32","38,07M"
"22/10/2024","17,20","17,35","0,41","17,13","17,42","30,90M"
"21/10/2024","17,10","17,28","1,35","17,02","17,29","22,32M"
"18/10/2024","17,27","17,05","-0,70","17,01","17,42","49,81M"
"17/10/2024","17,40","17,17","-1,55","17,12","17,38","70,50M"
"16/10/2024","17,40","17,44","0,63","17,15","17,44","48,02M"
"15/10/2024","17,15","17,33","0,99","17,08","17,39","28,32M"
"14/10/2024","17,14","17,16","0,35","17,00","17,32","33,83M"
"11/10/2024","17,24","17,10","-0,70","17,04","17,29","29,32M"
"10/10/2024","17,60","17,22","-1,77","17,17","17,60","36,70M"
"09/10/2024","17,64","17,53","-0,79","17,46","17,76","31,03M"
"08/10/2024","18,05","17,67","0,45","17,40","17,79","86,33M"
"07/10/2024","18,05","17,59","-1,90","17,59","18,09","45,15M"
"04/10/2024","18,26","17,93","-0,17","17,80","18,12","108,87M"
"03/10/2024","18,26","17,96","-3,08","17,96","18,39","70,53M"
"02/10/2024","18,56","18,53","0,71","18,50","18,77","35,58M"
"01/10/2024","18,20","18,40","1,10","18,00","18,44","51,81M"
"30/09/2024","18,47","18,20","-2,47","17,99","18,85","61,68M"
"27/09/2024","17,82","18,66","5,84","17,91","18,74","168,78M"
"26/09/2024","17,32","17,63","2,26","17,31","17,65","43,19M"
"25/09/2024","17,30","17,24","-0,12","17,19","17,40","73,45M"
"24/09/2024","17,17","17,26","1,29","17,14","17,42","36,09M"
"23/09/2024","17,00","17,04","0,24","16,87","17,09","38,86M"
"20/09/2024","17,09","17,00","-0,47","16,87","17,14","60,04M"
"19/09/2024","17,18","17,08","-0,87","17,08","17,34","31,65M"
"18/09/2024","17,22","17,23","-0,52","17,18","17,36","30,73M"
"17/09/2024","17,20","17,32","0,76","17,10","17,37","26,45M"
"16/09/2024","17,30","17,19","-0,12","17,12","17,32","34,41M"
"13/09/2024","17,29","17,21","0,12","17,18","17,46","31,80M"
"12/09/2024","17,21","17,19","-0,06","17,05","17,23","49,30M"
"11/09/2024","17,27","17,20","-0,12","17,13","17,28","43,85M"
"10/09/2024","17,20","17,22","0,58","16,94","17,26","39,81M"
"09/09/2024","17,36","17,12","-1,38","17,12","17,42","46,46M"
"06/09/2024","17,60","17,36","-1,08","17,28","17,55","77,63M"
"05/09/2024","17,60","17,55","-0,28","17,52","17,70","37,30M"
"04/09/2024","17,56","17,60","0,74","17,45","17,70","29,67M"
"03/09/2024","17,85","17,47","0,29","17,34","17,53","67,60M"
"02/09/2024","17,85","17,42","-1,36","17,34","17,85","38,71M"
"30/08/2024","17,82","17,66","-0,39","17,61","17,76","69,68M"
"29/08/2024","17,82","17,73","-0,84","17,61","17,92","40,90M"
"28/08/2024","18,08","17,88","-1,05","17,88","18,13","29,51M"
"27/08/2024","18,05","18,07","0,50","17,81","18,15","59,94M"
"26/08/2024","17,95","17,98","0,45","17,77","18,03","23,03M"
"23/08/2024","17,85","17,90","0,62","17,73","17,94","21,54M"
"22/08/2024","17,95","17,79","-1,17","17,64","18,06","30,64M"
"21/08/2024","18,01","18,00","0,17","17,82","18,09","28,22M"
"20/08/2024","17,90","17,97","0,62","17,70","18,07","30,70M"
"19/08/2024","17,81","17,86","0,90","17,49","17,99","54,14M"
"16/08/2024","17,95","17,70","-0,28","17,55","17,97","42,91M"
"15/08/2024","17,94","17,75","-2,47","17,62","18,17","45,99M"
"14/08/2024","18,19","18,20","-0,55","18,05","18,33","46,80M"
"13/08/2024","18,35","18,30","1,16","18,04","18,40","30,34M"
