"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.02.2025","53,11","54,21","54,50","52,82","6,81M","-2,03%"
"10.02.2025","54,21","54,20","54,44","53,80","3,07M","0,50%"
"07.02.2025","53,94","54,53","54,80","53,58","4,87M","-1,08%"
"06.02.2025","54,53","54,46","54,68","53,69","5,93M","0,11%"
"05.02.2025","54,47","54,36","54,98","54,31","4,23M","0,76%"
"04.02.2025","54,06","54,00","54,61","53,90","5,75M","0,30%"
"03.02.2025","53,90","54,61","55,00","53,64","7,77M","-2,07%"
"31.01.2025","55,04","56,21","56,41","54,70","7,22M","-2,08%"
"30.01.2025","56,21","54,78","56,38","54,41","6,20M","3,27%"
"29.01.2025","54,43","53,80","55,73","53,75","7,11M","0,63%"
"28.01.2025","54,09","54,49","55,44","53,74","10,28M","1,46%"
"27.01.2025","53,31","56,59","56,73","52,80","22,36M","-7,88%"
"24.01.2025","57,87","56,97","57,90","56,83","4,76M","1,08%"
"23.01.2025","57,25","56,44","57,27","56,35","4,53M","1,44%"
"22.01.2025","56,44","56,02","56,48","55,58","4,93M","1,46%"
"21.01.2025","55,63","54,91","55,96","54,64","3,95M","0,91%"
"20.01.2025","55,13","54,11","55,30","53,86","2,47M","1,77%"
"17.01.2025","54,17","53,71","54,17","53,37","4,22M","0,93%"
"16.01.2025","53,67","54,13","54,42","53,19","4,44M","-0,90%"
"15.01.2025","54,16","53,59","54,26","52,72","4,63M","2,32%"
"14.01.2025","52,93","53,30","53,59","52,57","5,41M","-0,60%"
"13.01.2025","53,25","53,39","53,85","52,69","4,56M","-0,19%"
